customer_id,total_revenue
1804,628.42
1356,625.38
1483,624.46
1831,623.4
1728,620.2
1894,620.1899999999999
1674,618.16
1907,615.8
1951,607.46
1117,604.64
1416,604.2
1026,603.03
1263,602.38
1050,598.6
1875,593.54
1364,589.45
1324,585
1437,581.82
1884,580.52
1068,573.76
1724,573.1800000000001
1953,572.37
1053,568.96
1114,566.1899999999999
1998,565.05
1348,559.1
1609,552.9300000000001
1862,552.48
1877,549.98
1176,546
1669,544.3100000000001
1920,542.91
1960,535
1180,532.12
1427,531.78
1251,530.83
1586,528.16
1091,527.54
1268,526.24
1498,526
1187,524.24
1421,521.76
1103,521.31
1705,517.38
1870,517.3199999999999
1672,516.92
1197,511.74
1531,508.06
1408,505.62
1449,505.4
1641,503.28
1466,502
1017,499.28
1415,499.18
1525,499.04
1840,497.46
1226,495.26
1879,492.09
1400,489.6
1121,487.66
1806,486.16
1446,485.91
1883,482.43999999999994
1692,482.19
1982,481.79999999999995
1975,481.74
1272,481.23
1686,478.04999999999995
1738,477.21
1827,469.46
1303,468.73
1657,468.04
1769,467.46
1653,465.76
1646,465.2
1699,464.88
1278,463.94
1511,462.72
1739,455.42
1564,454.43
1611,454.16999999999996
1373,454.12
1610,453.69
1829,453.39
1243,447.76
1744,442.37
1315,440.48
1915,440.39
1740,440.26
1075,437.94
1508,431.82
1116,426.22
1368,424.83
1335,424.76
1651,424.6
1338,424.25
1899,424.02
1463,421.76
1317,420.92
1913,417.64
1460,401.06
1376,401.04
1123,400.04999999999995
1824,395.28
1293,390
1778,385.59000000000003
1146,383.93
1747,383.58
1929,383.36
1444,382.44
1015,375.36
1799,371.25
1378,370.07
1228,364.24
1300,362.74
1592,359.58
1729,353.6
1723,353.41
1108,353.21999999999997
1340,352.62
1639,350.84000000000003
1760,347.2
1062,341.71
1020,336.08000000000004
1817,330.78000000000003
1540,329.8
1375,325.84
1742,324.68
1458,324.63
1783,324.42
1566,322.21
1128,317.32
1912,316.79999999999995
1499,315.16
1233,314.8
1842,314.6
1890,313.59
1516,312.69
1106,312.46
1885,309.48
1264,309.3
1069,306.4
1061,303.46
1876,298.64
1073,296.42
1262,295.72
1240,293.04
1719,292.43
1468,286.84
1850,281.07
1267,279.48
1383,277.54
1985,270
1702,269.98
1691,269.98
1153,260.7
1537,258.76
1518,258.08
1357,258.01
1122,254.32
1386,254.01999999999998
1560,253.77
1144,249.44
1151,245.92
1079,240.84
1295,240.63
1568,240.4
1271,238.88
1028,236.36
1058,232.38
1593,228.64
1287,227.92
1440,227.43
1832,226.92
1399,226.29
1492,223.22
1969,218.34
1571,216.66000000000003
1803,214.64999999999998
1353,214.16
1037,211.72
1680,209.36
1393,207.77
1360,206.52
1205,202.68
1132,200.37
1501,196.8
1435,193.52
1825,190.4
1250,188.06
1872,187.47
1085,186.77999999999997
1810,183.14
1413,181.78
1772,179.86
1403,178.01
1269,177.96
1000,177.67
1412,176.21
1696,175.41
1500,175.2
1854,170.45
1580,169.02
1129,167.46
1776,165.06
1839,161.13
1507,153.29
1977,149.14
1710,144
1771,133.61
1349,132.27
1013,130.18
1329,127.56
1685,123.74
1475,119.98
1933,119.44
1175,117.45
1708,115.4
1188,110.4
1042,106.6
1115,97.77
1410,89.92
1242,86.58
1147,83.66
1257,80.3
1048,80.29
1138,76.89
1520,75.98
1426,75.78
1369,73
1297,72.02
1981,71.88
1970,71.25
1906,67.88
1822,66.48
1989,64.92
1047,61.48
1203,61.35
1833,51.6
1694,49.67999999999999
1171,46.31
1443,44.56
1236,40.11
1530,36.269999999999996
1495,35.92
1717,33.54
1834,32.37
1905,30.31
1181,28.17
1418,21.98
1434,17.58
1179,5.77
